"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IDEA","EQ","12-Oct-2015","        157.95","        158.00","        159.15","        156.20","        157.50","        157.85","        157.58","    1222054","       1925.72","      10024","     622221","         50.92"
"IDEA","EQ","13-Oct-2015","        157.85","        157.50","        157.90","        151.65","        151.85","        152.65","        153.74","    2305731","       3544.72","      22429","    1014378","         43.99"
"IDEA","EQ","14-Oct-2015","        152.65","        152.65","        153.65","        150.20","        151.00","        150.85","        151.88","    1845195","       2802.48","      13964","     782854","         42.43"
"IDEA","EQ","15-Oct-2015","        150.85","        152.00","        153.50","        151.50","        152.30","        152.40","        152.65","    1971282","       3009.21","      19952","    1023050","         51.90"
"IDEA","EQ","16-Oct-2015","        152.40","        151.00","        152.40","        147.50","        150.40","        150.40","        149.71","    3888778","       5821.89","      19791","    2306985","         59.32"
"IDEA","EQ","19-Oct-2015","        150.40","        151.10","        152.60","        147.60","        151.60","        151.60","        150.99","    2675463","       4039.68","      19101","    1264540","         47.26"
"IDEA","EQ","20-Oct-2015","        151.60","        151.55","        153.00","        149.45","        150.90","        151.55","        151.49","    2374753","       3597.57","      17893","    1116862","         47.03"
"IDEA","EQ","21-Oct-2015","        151.55","        151.25","        153.50","        150.10","        151.30","        151.90","        151.74","    2704552","       4103.90","      23212","     894892","         33.09"
"IDEA","EQ","23-Oct-2015","        151.90","        148.70","        150.25","        138.00","        140.40","        140.45","        142.84","   18955814","      27075.60","     125292","    9027466","         47.62"
"IDEA","EQ","26-Oct-2015","        140.45","        141.25","        142.85","        139.10","        141.85","        141.55","        141.06","    5981493","       8437.72","      44919","    2693404","         45.03"
"IDEA","EQ","27-Oct-2015","        141.55","        140.60","        143.20","        139.75","        141.00","        141.00","        141.60","    5460742","       7732.55","      33979","    2967830","         54.35"
"IDEA","EQ","28-Oct-2015","        141.00","        141.00","        142.45","        140.40","        141.30","        141.50","        141.58","    3527879","       4994.87","      26128","    1754656","         49.74"
"IDEA","EQ","29-Oct-2015","        141.50","        141.50","        142.45","        140.00","        141.55","        141.50","        141.17","    8611220","      12156.87","      53041","    5678993","         65.95"
"IDEA","EQ","30-Oct-2015","        141.50","        141.90","        142.30","        139.55","        140.00","        140.00","        140.46","    4594608","       6453.78","      36554","    2943357","         64.06"
"IDEA","EQ","02-Nov-2015","        140.00","        141.00","        141.50","        138.80","        140.20","        140.60","        140.17","    3958124","       5548.16","      67734","    2529354","         63.90"
"IDEA","EQ","03-Nov-2015","        140.60","        141.50","        141.50","        138.65","        139.30","        139.30","        139.64","    5446486","       7605.34","      28403","    3729949","         68.48"
"IDEA","EQ","04-Nov-2015","        139.30","        139.85","        141.90","        139.15","        141.00","        141.10","        140.81","    3929281","       5532.70","      33825","    2762509","         70.31"
"IDEA","EQ","05-Nov-2015","        141.10","        140.50","        140.90","        138.00","        138.50","        139.10","        139.60","    3512324","       4903.16","      24133","    2589702","         73.73"
"IDEA","EQ","06-Nov-2015","        139.10","        138.50","        140.95","        137.00","        139.15","        139.30","        139.04","    4535807","       6306.56","      33074","    2873731","         63.36"
"IDEA","EQ","09-Nov-2015","        139.30","        135.10","        136.85","        131.85","        134.70","        134.75","        134.32","    7150637","       9604.61","      42042","    4186130","         58.54"
"IDEA","EQ","10-Nov-2015","        134.75","        134.70","        135.00","        126.85","        130.30","        130.05","        130.71","    7853446","      10265.38","      50341","    4528740","         57.67"
"IDEA","EQ","11-Nov-2015","        130.05","        132.00","        132.10","        130.55","        131.75","        131.70","        131.61","     346802","        456.42","       3190","     125169","         36.09"
"IDEA","EQ","13-Nov-2015","        131.70","        131.35","        131.70","        129.10","        130.00","        130.05","        130.05","    4012533","       5218.48","      52751","    2545182","         63.43"
"IDEA","EQ","16-Nov-2015","        130.05","        130.00","        131.95","        129.40","        130.70","        130.40","        130.57","    2566918","       3351.54","      21719","    1458200","         56.81"
"IDEA","EQ","17-Nov-2015","        130.40","        131.20","        132.50","        129.05","        131.45","        130.95","        130.42","    2940849","       3835.60","      31755","    1862946","         63.35"
"IDEA","EQ","18-Nov-2015","        130.95","        130.90","        135.80","        130.90","        135.40","        134.95","        133.55","    6716647","       8970.09","      58257","    4428205","         65.93"
"IDEA","EQ","19-Nov-2015","        134.95","        136.00","        136.65","        131.70","        133.55","        133.40","        133.25","    2993326","       3988.54","      31617","    1385826","         46.30"
"IDEA","EQ","20-Nov-2015","        133.40","        133.30","        138.70","        132.05","        135.35","        136.15","        135.09","    3450372","       4661.03","      38601","    1665195","         48.26"
"IDEA","EQ","23-Nov-2015","        136.15","        135.85","        140.00","        134.60","        139.45","        139.30","        138.42","    4882015","       6757.72","      39890","    3030951","         62.08"
"IDEA","EQ","24-Nov-2015","        139.30","        138.90","        141.45","        136.90","        140.10","        140.25","        139.45","    4671878","       6515.01","      34286","    2566776","         54.94"
"IDEA","EQ","26-Nov-2015","        140.25","        140.00","        149.75","        136.40","        145.00","        146.85","        144.42","   19707477","      28462.41","      83434","    9638098","         48.91"
"IDEA","EQ","27-Nov-2015","        146.85","        145.00","        146.50","        142.75","        143.35","        144.00","        144.00","    5574994","       8028.13","      33957","    2254129","         40.43"
"IDEA","EQ","30-Nov-2015","        144.00","        143.90","        143.90","        140.10","        141.80","        141.40","        141.43","    5698652","       8059.36","      62427","    4067589","         71.38"
"IDEA","EQ","01-Dec-2015","        141.40","        141.10","        145.20","        141.10","        142.30","        142.00","        142.43","    4849884","       6907.75","      38760","    2456838","         50.66"
"IDEA","EQ","02-Dec-2015","        142.00","        142.70","        142.85","        138.75","        140.00","        140.10","        140.28","    4282249","       6007.15","      30177","    2950378","         68.90"
"IDEA","EQ","03-Dec-2015","        140.10","        140.00","        141.30","        138.80","        140.35","        140.20","        140.04","    3191207","       4468.99","      27726","    1929348","         60.46"
"IDEA","EQ","04-Dec-2015","        140.20","        138.25","        139.50","        137.00","        138.50","        138.70","        138.12","    3165473","       4372.15","      21378","    2206336","         69.70"
"IDEA","EQ","07-Dec-2015","        138.70","        138.90","        139.80","        136.50","        137.30","        137.15","        137.42","    1719660","       2363.07","       9676","     955031","         55.54"
"IDEA","EQ","08-Dec-2015","        137.15","        136.35","        138.40","        134.50","        134.85","        135.40","        136.97","    2671980","       3659.80","      21406","    1569656","         58.75"
"IDEA","EQ","09-Dec-2015","        135.40","        136.00","        136.00","        131.50","        134.30","        133.80","        133.51","    2143813","       2862.18","      21662","    1080694","         50.41"
